ID,NAME,FORMAT,TYPE,CITY,OPENING_DATE
473,473 - LA LUZ                MPC,SUPERTIA,B,QUITO,2011-10-01
474,474 - VENEZUELA             FVC,SUPERTIA,B,NO ASIGNADO,
475,475 - RIVERMALL             LRR,SUPERTIA,B,QUITO,2011-10-01
476,476 - CARAPUNGO             CSS,SUPERTIA,B,QUITO,2011-10-01
480,480 - EL COCA II            VTA,FRESCOS,B,EL COCA,2015-11-29
483,483 - ARCHIDONA             VTA,FRESCOS,B,ARCHIDONA,2016-07-29
484,484 - CHILLOGALLO           LZT,SUPERTIA,B,QUITO,2016-08-11
486,486 - ZAMORA                RYA,FRESCOS,B,ZAMORA,
487,487 - LAGO AGRIO            VTA,SUPERTIA,B,LAGO AGRIO,2016-10-28
488,488 - SAN ISIDRO DEL INCA   MPC,SUPERTIA,B,QUITO,2016-11-24
490,490 - SAN MIGUEL DE LOS BA  PFA,SUPERTIA,B,QUITO,2017-02-11
493,493 - ALAUSI                MVT,FRESCOS,B,ALAUSI,2017-03-23
700,700 - C.D.F.  GYE,CEN-DISTRIB,,GUAYAQUIL,
701,701 - C.D.F. SOLAND-FRU  BA,NO ASIGNADO,,QUITO,
702,702 - C.D.F. CARAPUNGO   BA,NO ASIGNADO,,QUITO,
703,703 - C.D.F. AMBATO      BA,NO ASIGNADO,,AMBATO,
767,767 - ,NO ASIGNADO,,NO ASIGNADO,
801,801 - LA LUZ                FVC,SUPERTIA,,QUITO,
802,802 - VENEZUELA             FVC,NO ASIGNADO,,QUITO,
803,803 - RIVERMALL             FVC,SUPERTIA,,QUITO,
804,804 - CARAPUNGO             FVC,SUPERTIA,,QUITO,
805,805 - EXPRESS AMAZONAS,NO ASIGNADO,,QUITO,
806,806 - CDF-CARAPUNGO      BA,NO ASIGNADO,,QUITO,
900,900 - OFICINA-GUAYAQUIL,OFICINA,,GUAYAQUIL,
902,902 - OFICINA-QUITO,OFICINA,,QUITO,
